#========================================================================
#                 Resonance data for s-wave resonances 
#                 Associated with the Target not the compound
#                 Wauhab determines correct compound
# Z El  A   Io     Bn        D0        dD      S0    dS    Gg    dG   Com.
#                 [MeV]     [keV]     [keV]  [1E-4][1E-4][meV] [meV]  &Ref
#========================================================================
  9  F  19   .5   6.601  1.60E+02  4.00E+01   0.00  0.00    -1    -1   79R  
 11 Na  23  1.5   6.960  1.00E+02  2.00E+01   0.25  0.15    -1    -1  *07I
 12 Mg  24  0.    7.331  4.80E+02  7.00E+01   0.00  0.00    -1    -1  *07I
 12 Mg  25  2.5  11.094  5.00E+01  1.00E+01   0.00  0.00    -1    -1  *07I
 12 Mg  26  0.    6.446  2.10E+02  8.00E+01   0.00  0.00    -1    -1  *07I
 13 Al  27  2.5   7.725  5.50E+01  6.00E+00   2.30  0.50  1600   400  07I 
 14 Si  28  0.    8.474  3.32E+02  3.50E+01   0.50  0.24    -1    -1  07I 
 14 Si  29  0.5  10.609  1.93E+02  2.20E+01   0.00  0.00    -1    -1  *07I
 14 Si  30  0.    6.587  2.25E+02  3.00E+01   0.00  0.00    -1    -1  *07I
 15 P   31  0.5   7.937  5.00E+01  1.20E+01   0.42  0.20  2000   400  08M 
 16 S   32  0.    8.642  1.90E+02  6.00E+01   0.75  0.25  2000   900  07I 
 16 S   33  1.5  11.417  2.10E+01  1.00E+01   0.00  0.00    -1    -1  06M 
 16 S   34  0.    6.986  1.10E+02  4.00E+01   0.00  0.00    -1    -1  *07I
 17 Cl  35  1.5   8.580  2.30E+01  6.00E+00   0.33  0.15   450    60  96I 
 17 Cl  37  1.5   6.108  1.50E+01  4.00E+00   0.60  0.22    -1    -1  96I 
 18 Ar  40  0.    6.100  5.20E+01  4.70E+00   1.90  0.50    -1    -1  06M 
 19 K   39  1.5   7.800  1.30E+01  3.00E+00   0.75  0.26  1000   500  07I 
 19 K   41  1.5   7.534  1.00E+01  3.00E+00   0.50  0.20   940   180  07I 
 20 Ca  40  0.    8.363  4.50E+01  4.00E+00   2.70  0.70  1500   900  06M 
 20 Ca  42  0.    7.933  2.00E+01  5.00E+00   2.50  0.50  1100   200  96I 
 20 Ca  43  3.5  11.131  1.80E+00  3.00E-01   3.60  0.60   750    40  96I 
 20 Ca  44  0.    7.415  2.41E+01  3.20E+00   2.40  0.50  1300   400  96I 
 21 Sc  45  3.5   8.761  1.30E+00  1.00E-01   4.40  0.60   840   460  96I 
 22 Ti  46  0.    8.880  2.50E+01  4.00E+00   2.60  0.60  1400   400  00I 
 22 Ti  47  2.5  11.627  1.75E+00  2.50E-01   2.80  0.60  1200   400  96I 
 22 Ti  48  0.    8.142  2.08E+01  2.50E+00   4.00  1.30  2300   140  06M 
