#        Experimental fission barriers  
#  Z  A  El    Ea  SymA    Eb  SymB   Delf
#            [MeV]       [MeV]       [MeV]
#---------------------------------------------
  80 196 Hg                16.9  S
  80 198 Hg                16.6  S
  80 199 Hg                18.2  S
  80 200 Hg                17.7  S
  81 200 Tl                22.8  S
  81 201 Tl                23.1  S
  82 204 Pb                23.5  S
  82 205 Pb                24.6  S
  82 206 Pb                25.3  S
  82 207 Pb                27.0  S
  82 208 Pb                27.4  S
  83 206 Bi                22.4  S
  83 207 BI                22.8  S
  83 208 Bi                23.8  S
  83 209 Bi                24.3  S
  83 210 BI                24.3  S
  84 207 Bi                19.3  S
  84 208 Po                19.9  S
  84 209 Po                21.1  S
  84 210 Po                21.2  S
  84 211 Po                20.6  S
  84 212 Po                19.6  S
  85 212 At                18.6  S
  85 213 At                17.3  S
  86 216 Rn                13.5  S
  88 225 Ra                7.6   S
  88 226 Ra                8.5   S
  88 227 Ra                8.2   S
  88 228 Ra                8.0   S
  89 226 Ac                7.8   S
  89 227 Ac                7.4   S
  89 228 Ac                7.1   S
  90 230 Th    6.10  S     6.80  MA   0.832
  90 231 Th    6.00  S     6.70  MA   0.830
  90 232 Th    5.80  S     6.70  MA   0.828
  90 233 Th    5.10  S     6.65  MA   0.806
  91 230 Pa    5.60  S     5.80  MA   0.802
  91 231 Pa    5.50  S     5.50  MA   0.800
  91 232 Pa    5.00  S     6.40  MA   0.828
  91 233 Pa    5.70  S     5.80  MA   0.808
  91 234 Pa    6.30  S     6.15  MA   0.806
  92 231 U     4.40  S     5.50  MA   0.869
  92 232 U     4.90  S     5.40  MA   0.848
  92 233 U     4.35  S     5.55  MA   0.946
  92 234 U     4.80  S     5.50  MA   0.889
  92 235 U     5.25  S     6.00  MA   0.803
  92 236 U     5.00  S     5.67  MA   0.833
  92 237 U     6.40  GA    6.15  MA   0.809
  92 238 U     6.30  GA    5.50  MA   0.818
  92 239 U     6.45  GA    6.00  MA   0.816
  93 236 Np    5.90  GA    5.40  MA   0.821
  93 237 Np    6.00  GA    5.40  MA   0.819
  93 238 Np    6.50  GA    5.75  MA   0.820
  94 237 Pu    5.10  S     5.15  MA   0.799
  94 238 Pu    5.60  S     5.10  MA   0.818
  94 239 Pu    6.20  GA    5.70  MA   0.816
  94 240 Pu    6.05  GA    5.15  MA   0.875
  94 241 Pu    6.15  GA    5.50  MA   0.855
  94 242 Pu    5.85  GA    5.05  MA   0.846
  94 243 Pu    6.05  GA    5.45  MA   0.910
  94 244 Pu    5.70  GA    4.85  MA   0.848
  94 245 Pu    5.85  GA    5.25  MA   0.855
  95 239 Am    6.00  GA    5.40  MA   0.776
  95 240 Am    6.10  GA    6.00  MA   0.775
  95 241 Am    6.00  GA    5.35  MA   0.773
  95 242 Am    6.32  GA    5.78  MA   0.884
  95 243 Am    6.40  GA    5.05  MA   0.770
  95 244 Am    6.25  GA    5.90  MA   0.808
  96 241 Cm    7.15  GA    5.50  MA   0.793
  96 242 Cm    6.65  GA    5.00  MA   0.811
  96 243 Cm    6.33  GA    5.40  MA   0.810
  96 244 Cm    6.18  GA    5.10  MA   0.868
  96 245 Cm    6.35  GA    5.45  MA   0.867
  96 246 Cm    6.00  GA    4.80  MA   0.865
  96 247 Cm    6.12  GA    5.10  MA   0.883
  96 248 Cm    5.80  GA    4.80  MA   0.842
  96 249 Cm    5.63  GA    4.95  MA   0.900

