#                  Resonance data for p-wave resonances 
# Z El  A    Io    Bn        D1        dD      S1   dS    Gg    dG    Ref
#                 [MeV]    [keV]     [keV]  [1E-4][1E-4] [meV] [meV]
#========================================================================
 39 Y   89   .5   6.857  1.29E+00  5.00E-02   4.4   0.5    300    90  07I  
 40 Zr  90   .0   7.194  2.50E+00  5.00E-01   3.8   0.5    250    50  04I  
 40 Zr  91  2.5   8.635  2.50E-01  3.00E-02   7.8   1.3    220    30  07I  
 40 Zr  92   .0   6.735  1.40E+00  2.00E-01   6.4   1.5    220    50  96I  
 40 Zr  93  2.5   8.221  1.20E-01  2.00E-02   9.9   1.2    240    30  07I  
 40 Zr  94   .0   6.462  1.60E+00  2.00E-01   9.4   1.2    180    30  04I  
 40 Zr  96   .0   5.575  4.00E+00  8.00E-01   9.0   2.0    120    75  04I  
 41 Nb  93  4.5   7.227  5.00E-02  6.00E-03   5.8   0.8    220    20  07I  
 42 Mo  92   .0   8.070  9.00E-01  6.00E-02   3.6   0.6    240    40  04I  
 42 Mo  94   .0   7.369  5.08E-01  4.70E-02   7.2   2.7    188    10  06M  
 42 Mo  95  2.5   9.154  3.80E-02  5.00E-03   6.9   1.8    210    40  06M  
 42 Mo  96   .0   6.821  3.50E-01  5.00E-02   7.1   1.6    140    20  96I  
 42 Mo  97  2.5   8.643  2.20E-02  8.60E-03   7.85  1.53    -1    -1  06M  
 42 Mo  98   .0   5.925  2.90E-01  3.00E-02   6.3   2.1    145    20  07I  
 42 Mo 100   .0   5.398  2.60E-01  3.00E-02   5.0   0.8     95    15  04I  
 43 Tc  99  4.5   6.764 -1.00E+00 -1.00E+00   5.3   0.5     -1    -1  04I  
 44 Ru 100   .0   6.802  1.15E-01  2.00E-02   4.3   0.6    130    30  04I  
 44 Ru 102   .0   6.232  1.05E-01  1.50E-02   4.6   0.6     -1    -1  04I  
 44 Ru 104   .0   5.910  1.20E-01  1.50E-02   3.5   0.5     -1    -1  04I  
 45 Rh 103   .5   6.999  1.30E-02  1.50E-03   5.6   0.6     -1    -1  04I  
 46 Pd 104   .0   7.094  8.10E-02  7.00E-03   5.3   0.5     -1    -1  06M  
 46 Pd 105  2.5   9.561  5.00E-03  1.00E-03   4.1   0.8    150    15  04I  
 46 Pd 106   .0   6.538  8.50E-02  1.90E-02   4.0   1.0    102    10  98C  
 46 Pd 108   .0   6.154  9.50E-02  2.40E-02   4.0   1.0    104    10  98C  
 46 Pd 110   .0   5.726  7.60E-02  2.00E-02   5.8   1.0     98    17  04I  
 47 Ag 107   .5   7.271  1.00E-02  2.00E-03   4.5   0.6     -1    -1  04I  
 48 Cd 106   .0   7.924  5.20E-02  6.00E-03   4.7   1.5    175    25  06M  
 48 Cd 108   .0   7.327  9.20E-02  2.00E-02   6.0   1.0    125    20  04I  
 48 Cd 110   .0   6.976  8.00E-02  5.00E-03   5.1   0.4     80    15  06M  
 48 Cd 111   .5   9.394  1.40E-02  1.00E-03   4.7   0.5     -1    -1  06M  
 48 Cd 112   .0   6.540  5.90E-02  3.00E-03   4.8   0.4     94    16  06M  
 48 Cd 113   .5   9.043  1.10E-02  1.20E-03   3.0   0.5    160    20  94F  
 48 Cd 114   .0   6.141  8.70E-02  8.00E-03   4.3   0.6     84     8  06M  
 48 Cd 116   .0   5.777  2.15E-01  2.00E-02   3.8   0.5     76     6  06M  
 49 In 115  4.5   6.785  5.10E-03  4.00E-04   3.6   0.4     -1    -1  07I  
 50 Sn 116   .0   6.943  1.55E+00  6.00E-03   2.84  0.32    85     2  06M  
 50 Sn 117   .5   9.327  3.10E-02  3.00E-03   2,9   0.3    136     7  06M  
 50 Sn 120   .0   6.170  4.10E-01  2.00E-02   2.1   0.2     77     5  04I  
 50 Sn 122   .0   5.946  1.03E+00  3.00E-02   1.88  0.15    -1    -1  06M  
 50 Sn 124   .0   5.733  1.63E+00  7.00E-02   2.2   0.3     -1    -1  06M  
 52 Te 122   .0   6.929  6.00E-02  2.00E-02   1.7   0.5     -1    -1  07I  
 52 Te 124   .0   6.569  1.30E-01  3.00E-02   1.7   0.3     75    15  07I  
 52 Te 126   .0   6.287  2.00E-01  5.00E-02   1.5   0.3     80    15  07I  
 52 Te 128   .0   6.082  5.00E-01  5.00E-02   1.3   0.3     84    15  07I  
 52 Te 130   .0   5.929  1.04E+00  1.50E-01   0.82  0.16    -1    -1  07I  
 54 Xe 136   .0   4.025  9.60E+00  9.00E-01   0.88  0.15    -1    -1  97I  
 56 Ba 134   .0   6.973  1.63E-01  1.10E-02   3.0   0.6     85    20  96K  
 56 Ba 136   .0   6.900  5.22E-01  3.40E-02   1.8   0.3    163    30  96K  
 56 Ba 138   .0   4.723  6.76E+00  6.70E-01   1.1   0.3     31     4  06M  
 58 Ce 140   .0   5.428  1.00E+00  2.00E-01   0.40  0.15    30     6  96I  
 60 Nd 142   .0   6.123  3.90E-01  3.30E-02   0.58  0.13    48     5  06M  
 60 Nd 143  3.5   7.817  2.10E-02  4.00E-03   0.85  0.31    -1    -1  06M  
 60 Nd 144   .0   5.755  2.02E-01  1.40E-02   0.77  0.15    -1    -1  06M  
 60 Nd 146   .0   5.292 -1.00E+00 -1.00E+00   1.2   0.4     -1    -1  06M  
 60 Nd 148   .0   5.038 -1.00E+00 -1.00E+00   0.85  0.15    -1    -1  00I  
 62 Sm 144   .0   5.038  2.65E-01  2.20E-02   0.9   0.09    61    10  06M  
 80 Hg 200   .0   6.230  2.00E-01  4.00E-02   0.6   0.15    -1    -1  07I  
 81 Tl 203   .5   6.656  2.00E-01  2.00E-02   0.26  0.05    35     9  06M  
 81 Tl 205   .5   6.504  1.14E+00  8.00E-02   0.31  0.06    33     5  06M  
 82 Pb 204   .0   6.732  6.90E-01  6.00E-02   0.35  0.06   135    25  06M  
 82 Pb 206   .0   6.738  5.40E+00  5.00E-01   0.37  0.1    350   150  04I  
 82 Pb 207   .5   7.367  4.80E+00  8.00E-01   0.5   0.1    470   170  04I  
 82 Pb 208   .0   3.937  3.00E+01  5.00E+00   0.33  0.06    -1    -1  04I  
 83 Bi 209  4.5   4.604  1.05E+00  1.00E-01   0.25  0.05    39    12  04I  
 90 Th 232   .0   4.786  5.90E-03  2.00E-04   1.5   0.3     -1    -1  04I  
 92 U  238   .0   4.806  7.70E-03  3.00E-03   1.6   0.2     -1    -1  04I  
