8   0.4
0.000  0.0  1.0
0.100  2.0  1.0
0.400  0.0 -1.0
0.400  1.0 -1.0
0.500  2.0  1.0
0.400  2.0 -1.0
0.800  0.0  1.0
0.800  0.0  1.0
