8   0.200
0.000  2.5  1.0
0.000  2.5 -1.0
0.080  1.5  1.0
0.080  1.5 -1.0
0.040  0.5  1.0
0.040  0.5 -1.0
0.050  0.5  1.0
0.050  0.5 -1.0
