                                          3      0.735  5.406E-01  5.408E-01  3.062E-04
 15   0.964960   5.0 -1   5.00E-09  3 u                    5(-)  0
                                         14      0.071  7.466E-01  9.169E-01  2.280E-01
                                         13      0.232  2.987E-02  3.005E-02  6.045E-03
                                         11      0.415  5.301E-02  5.308E-02  1.209E-03
 16   1.214490   6.0 -1   5.00E-09  3 u                    6(-)  0
                                         15      0.250  3.879E-01  3.910E-01  8.082E-03
                                         14      0.321  3.258E-01  3.295E-01  1.110E-02
                                         13      0.481  2.793E-01  2.795E-01  8.312E-04
 17   1.303870   7.0 -1   5.00E-09  1 u                    7(-)  0
                                         15      0.339  9.912E-01  1.000E+00  8.901E-03
 18   1.323060   6.0  0   5.00E-09  1 u                       6  0
                                         15      0.358  1.000E+00  1.000E+00  0.000E+00
 19   1.427600   6.0  0   5.00E-09  3 u                       6  0
                                         18      0.105  2.510E-01  2.510E-01  0.000E+00
                                         16      0.213  5.160E-02  5.160E-02  0.000E+00
                                         15      0.463  6.974E-01  6.974E-01  0.000E+00
 20   1.571320   6.0  0   1.90E-08  2 u                       6  0
                                         18      0.248  8.264E-01  8.264E-01  0.000E+00
                                         17      0.267  1.736E-01  1.736E-01  0.000E+00
 21   1.762200  -1.0  0             1                            0
                                         18      0.439  1.000E+00  1.000E+00  0.000E+00
 22   1.859300   7.0  0   5.00E-09  1 u                       7  0
                                         20      0.288  1.000E+00  1.000E+00  0.000E+00
 23   1.956100   8.0  0   5.00E-09  3 u                     (8)  0
                                         18      0.634  8.065E-01  8.065E-01  0.000E+00
                                         17      0.652  1.935E-01  1.935E-01  0.000E+00
                                         15      0.991  0.000E+00  0.000E+00  0.000E+00
 24   2.057600  -1.0  0             1                            0
                                         19      0.630  1.000E+00  1.000E+00  0.000E+00
 25   2.094050   8.0 -1   5.00E-09  2 u                    8(-)  0
                                         18      0.771  4.218E-01  4.218E-01  0.000E+00
                                         17      0.790  5.778E-01  5.782E-01  5.550E-04
 26   2.157950   9.0  1   3.60E-08  3 u                    9(+)  0
                                         25      0.064  8.461E-02  1.608E-01  9.000E-01
                                         17      0.854  7.110E-01  7.118E-01  1.163E-03
                                         16      0.944  1.273E-01  1.274E-01  9.095E-04
 27   2.251100   7.0  0   5.00E-09  1 u                     (7)  0
                                         18      0.928  1.000E+00  1.000E+00  0.000E+00
 28   2.301270   8.0  0   5.00E-09  1 u                       8  0
                                         18      0.978  1.000E+00  1.000E+00  0.000E+00
 29   2.474550   8.0  0   5.00E-09  1 u                       8  0
                                         26      0.317  1.000E+00  1.000E+00  0.000E+00
 30   2.829890  -1.0  0   5.00E-09  1                            0
                                         17      1.526  1.000E+00  1.000E+00  0.000E+00
 31   2.935200  -1.0  0             1                            0
                                         24      0.875  1.000E+00  1.000E+00  0.000E+00
 32   2.938950   9.0  0   5.00E-09  2 u                       9  0
                                         29      0.464  8.130E-01  8.130E-01  0.000E+00
                                         27      0.688  1.870E-01  1.870E-01  0.000E+00
 33   3.126800  -1.0  0   5.00E-09  1                            0
                                         26      0.969  1.000E+00  1.000E+00  0.000E+00
 34   3.170330  10.0  1   5.00E-09  1 u                   10(+)  0
                                         26      1.012  9.997E-01  1.000E+00  2.993E-04
 35   3.183380  11.0  0   5.00E-09  1 u                      11  0
                                         26      1.025  1.000E+00  1.000E+00  0.000E+00
 36   3.341200  -1.0  0   5.00E-09  1                            0
                                         26      1.183  1.000E+00  1.000E+00  0.000E+00
 37   4.366300  -1.0  0   5.00E-09  1                            0
                                         34      1.196  1.000E+00  1.000E+00  0.000E+00
 38   4.388320  12.0  0   5.00E-09  2 u                      12  0
                                         35      1.205  4.055E-01  4.055E-01  0.000E+00
                                         34      1.218  5.945E-01  5.945E-01  0.000E+00
 39   4.586000  -1.0  0   5.00E-09  1                            0
                                         35      1.403  1.000E+00  1.000E+00  0.000E+00
 40   4.897320  12.0  0   5.00E-09  1 u                    (12)  0
                                         35      1.714  1.000E+00  1.000E+00  0.000E+00
 41   5.087320  13.0  0   5.00E-09  1 u                      13  0
                                         38      0.699  1.000E+00  1.000E+00  0.000E+00
 42   5.653100  14.0  0   5.00E-09  2 u                    (14)  0
                                         40      0.755  8.929E-01  8.929E-01  0.000E+00
                                         39      1.067  1.071E-01  1.071E-01  0.000E+00
 43   6.063630  15.0  0   5.00E-09  1 u                      15  0
                                         41      0.976  1.000E+00  1.000E+00  0.000E+00
 69As   69   33  109  118   22    1   12.270000    3.393000
  1   0.000000   2.5 -1   9.12E+02  0 u                    5/2-  1 =    100.0000 %EC+%B+
  2   0.097990   1.5 -1   2.00E-09  1 u                  3/2(-)  0
                                          1      0.098  9.132E-01  1.000E+00  9.508E-02
  3   0.164420   1.5 -1             1 c        (1/2-,3/2-,5/2-)  0
                                          2      0.066  0.000E+00  0.000E+00  2.800E-01
  4   0.497360   1.5 -1             3 u                  3/2(-)  0
                                          3      0.333  1.790E-01  1.797E-01  4.001E-03
                                          2      0.399  6.393E-01  6.410E-01  2.582E-03
                                          1      0.497  1.790E-01  1.793E-01  1.553E-03
  5   0.760100   2.5 -1             1 g                          0
                                          2      0.662  9.992E-01  1.000E+00  8.161E-04
  6   0.789470   2.5 -1             4 u                  5/2(-)  0
                                          4      0.292  6.914E-02  6.952E-02  5.503E-03
                                          3      0.625  1.027E-01  1.028E-01  9.276E-04
                                          2      0.692  6.461E-01  6.466E-01  7.409E-04
                                          1      0.790  1.809E-01  1.810E-01  5.557E-04
  7   0.864060   3.5 -1   5.50E-12  3 u                    7/2-  0
                                          6      0.074  7.731E-02  9.329E-02  2.066E-01
                                          2      0.766  4.725E-02  4.729E-02  8.786E-04
                                          1      0.864  8.590E-01  8.594E-01  4.586E-04
  8   0.933400   1.5 -1             1 g                          0
                                          2      0.836  9.995E-01  1.000E+00  4.924E-04
  9   1.001700   3.5 -1             2 u                     7/2  0
                                          7      0.138  2.345E-01  2.434E-01  3.820E-02
                                          1      1.002  7.563E-01  7.566E-01  3.060E-04
 10   1.075700   1.5  1             2 g                          0
                                          3      0.911  5.813E-01  5.814E-01  1.957E-04
                                          2      0.978  4.185E-01  4.186E-01  1.703E-04
 11   1.105600   2.5 -1             1 g                          0
                                          7      0.241  9.913E-01  1.000E+00  8.820E-03
 12   1.306830   4.5  1   1.35E-09  4 u                    9/2+  0
                                         11      0.201  1.680E-02  1.819E-02  8.292E-02
                                          9      0.306  2.766E-02  2.774E-02  2.752E-03
                                          7      0.443  4.594E-01  4.599E-01  1.032E-03
                                          1      1.307  4.940E-01  4.942E-01  3.723E-04
 13   1.366900   2.5 -1             1 g                          0
                                          7      0.503  9.985E-01  1.000E+00  1.516E-03
 14   1.492500   5.5  1             1 c             (11/2,13/2)  0
                                         12      0.186  9.831E-01  1.000E+00  1.716E-02
 15   1.601200   2.5  1             1 g                          0
                                         12      0.295  9.857E-01  1.000E+00  1.448E-02
 16   1.627600   2.5 -1             1 g                          0
                                         12      0.321  9.818E-01  1.000E+00  1.849E-02
 17   1.691100   3.5 -1             2 g                          0
