291Ts  291  117    1    0    1    1    0.000000    0.687000
  1   0.000000  -1.0  0  2.000E-03  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
292Ts  292  117    1    0    1    1    6.296000    1.101000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
293Ts  293  117    1    0    1    1    7.262000    1.146000
  1   0.000000  -1.0  0  2.100E-02  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
294Ts  294  117    1    0    1    1    5.935000    1.437000
  1   0.000000  -1.0  0  7.000E-02  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
