293Og  293  118    1    0    1    1    0.000000    1.992000
  1   0.000000   0.5  1  1.000E-03  0                     1/2+#  1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
294Og  294  118    1    0    1    1    7.481000    2.210000
  1   0.000000   0.0  1  1.150E-03  0                        0+  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
295Og  295  118    1    0    1    1    6.022000    2.298000
  1   0.000000  -1.0  0  1.000E-02  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
