272Rg  272  111    1    0    1    1    0.000000    0.464000
  1   0.000000  -1.0  0  4.500E-03  0                   5+#,6+#  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
273Rg  273  111    1    0    1    1    8.150000    0.609000
  1   0.000000  -1.0  0  2.000E-03  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
274Rg  274  111    1    0    1    1    6.153000    1.031000
  1   0.000000  -1.0  0  2.900E-02  0                            1 AP 1.0000E+02 %A                                                                                                                                                                                                             0.000000       
275Rg  275  111    1    0    1    1    7.389000    1.191000
  1   0.000000  -1.0  0  5.000E-03  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
276Rg  276  111    1    0    1    1    5.881000    1.368000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
277Rg  277  111    1    0    1    1    7.220000    1.493000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
278Rg  278  111    1    0    1    1    5.892000    1.912000
  1   0.000000  -1.0  0  8.000E-03  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
279Rg  279  111    1    0    1    1    6.814000    1.895000
  1   0.000000  -1.0  0  1.800E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
280Rg  280  111    1    0    1    1    5.960000    2.529000
  1   0.000000  -1.0  0  4.300E+00  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
281Rg  281  111    1    0    1    1    6.660000    2.512000
  1   0.000000  -1.0  0  2.400E+01  0   X                        1 =  1.0000E+02 %SF                                                                                                                                                                                                            0.000000       
282Rg  282  111    1    0    1    1    5.568000    2.920000
  1   0.000000  -1.0  0  9.600E+01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
283Rg  283  111    1    0    1    1    6.591000    0.000000
  1   0.000000  -1.0  0  3.000E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
