#Constant Temperature fit results; RIPL III discrete level library; March 2020 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  40 112 Zr   0.52670   0.03807   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  79 Nb   0.75354   0.05383   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  80 Nb   0.79018   0.05577   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  81 Nb   0.83192   0.05897   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  82 Nb   0.87759   0.06402   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  41  83 Nb   0.92516   0.07121  -0.11802   0.19027  20  15  14   1  2.48440  0.00000  9.172E-02   F   0             4.440
  41  84 Nb   0.97139   0.08023  -1.77663   0.19072  60  18   7   1  0.92390  0.00000  1.590E-01   F   0             3.954
  41  85 Nb   1.01167   0.08976   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  41  86 Nb   1.04017   0.09756  -1.06472   0.20081  76   9   7   1  1.28380  0.00000  6.802E-02   F   0             0.000
  41  87 Nb   1.05062   0.10087  -0.84325   0.26965  94  15  14   1  1.97660  0.00000  2.414E-02       0             3.899
  41  88 Nb   1.03910   0.09794  -0.47631   0.19687  47   8   7   1  1.67571  0.00000  9.020E-03       0             0.000
  41  89 Nb   1.00826   0.08991  -0.82273   0.21371  47  17   7   1  2.15156  0.00000  2.536E-02 *     0             4.024
  41  90 Nb   0.96340   0.07928  -1.62309   0.25562  70  43  14   6  2.00000  0.32800  7.309E-03 *     0             3.857
  41  91 Nb   0.91024   0.06852  -0.40539   0.20516 149  29  13   2  2.66025  0.10460  6.352E-03 *     0             3.329
  41  92 Nb   0.85377   0.05941  -1.24155   0.21597 166  66  19   1  2.33500  0.00000  6.449E-03 *     0             3.678
  41  93 Nb   0.79780   0.05270  -0.95409   0.17505 128  68   7   7  2.36750  0.94980  1.582E-02 *     0             3.429
  41  94 Nb   0.74490   0.04826  -1.49655   0.17890 385  73  20   2  1.69574  0.04089  1.021E-02 *     0             3.643
  41  95 Nb   0.69660   0.04547  -0.62773   0.12939 119  30   9   3  1.73000  0.72420  7.286E-03 *     0             3.131
  41  96 Nb   0.65369   0.04361  -0.55720   0.12716  37  24  14   1  1.53700  0.00000  8.764E-03 *     0             2.729
  41  97 Nb   0.61647   0.04215   0.27220   0.10319  63  18   7   7  2.10591  1.43392  1.565E-02 *     0             2.138
  41  98 Nb   0.58498   0.04075   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  41  99 Nb   0.55913   0.03924  -0.21039   0.10489  24  15  14   2  1.30500  0.36527  2.705E-03       0             1.837
  41 100 Nb   0.53885   0.03754   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  41 101 Nb   0.52389   0.03566  -0.72713   0.10470  61  25  14   1  0.95277  0.00000  5.129E-02   F   0             2.918
  41 102 Nb   0.51332   0.03369   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  41 103 Nb   0.50635   0.03177  -0.63765   0.08694  48  17  14   1  0.76782  0.00000  5.642E-02   F   0             3.144
  41 104 Nb   0.50236   0.03006   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  41 105 Nb   0.50086   0.02877   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  41 106 Nb   0.50142   0.02809   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  41 107 Nb   0.50369   0.02820   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 108 Nb   0.50728   0.02918   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  41 109 Nb   0.51181   0.03095   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  41 110 Nb   0.51688   0.03326   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 111 Nb   0.52202   0.03578   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 112 Nb   0.52670   0.03807   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 113 Nb   0.53037   0.03970   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 114 Nb   0.53259   0.04031   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 115 Nb   0.53354   0.03993   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  81 Mo   0.83192   0.05897   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  82 Mo   0.87759   0.06402   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  83 Mo   0.92516   0.07121   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  84 Mo   0.97139   0.08023   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  42  85 Mo   1.01167   0.08976   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  86 Mo   1.04017   0.09756   0.09661   0.20190  35   9   7   1  2.37280  0.00000  5.519E-03       0             0.000
  42  87 Mo   1.05062   0.10087   0.00580   0.20251  28   8   7   1  2.28370  0.00000  8.011E-02   F   0             0.000
  42  88 Mo   1.03910   0.09794   0.38355   0.23350  61  16   7   4  3.21343  1.65483  3.075E-02       0             3.643
  42  89 Mo   1.00826   0.08991  -0.28632   0.19500  35  11   7   1  2.11000  0.00000  4.576E-02       0             0.000
  42  90 Mo   0.96340   0.07928   0.34008   0.21933  86  29   7   7  3.53990  2.45000  5.723E-02   F   0             3.464
  42  91 Mo   0.91024   0.06852  -0.32368   0.21153 159  48   7   6  3.19100  1.53190  4.283E-02       0             3.538
  42  92 Mo   0.85377   0.05941   0.97288   0.17299 243  36   7   6  4.01931  2.61241  6.886E-03 *     0             2.957
  42  93 Mo   0.79780   0.05270  -0.12640   0.19259 144  94   7   8  3.48617  2.14198  1.621E-02 *     0             3.284
  42  94 Mo   0.74490   0.04826   0.52621   0.16793 173  76   7   6  3.73000  2.06735  7.154E-03 *     0             2.921
  42  95 Mo   0.69660   0.04547  -0.56975   0.13152 143  28  11   1  1.74290  0.00000  1.058E-02 *     0             2.484
  42  96 Mo   0.65369   0.04361   0.56029   0.13591 122  48   7  12  3.08962  2.23463  1.039E-02 *     0             2.752
  42  97 Mo   0.61647   0.04215  -0.80864   0.13006 189  33  14   1  1.34100  0.00000  9.311E-03 *     0             2.260
  42  98 Mo   0.58498   0.04075   0.61460   0.12751 137  48   7   6  2.85630  1.75848  7.483E-03 *     0             2.585
  42  99 Mo   0.55913   0.03924  -0.69653   0.13446 141  49  18   9  1.47170  0.68410  6.063E-03 *     0             2.658
  42 100 Mo   0.53885   0.03754   0.56279   0.10179 145  27   7   7  2.33980  1.50462  1.163E-02 *     0             2.498
  42 101 Mo   0.52389   0.03566  -0.92779   0.09774  67  34   7   4  0.91419  0.17096  1.971E-01   F   0             2.265
  42 102 Mo   0.51332   0.03369   0.19061   0.07337  66  11   7   5  1.39839  0.84789  6.269E-02   F   0             2.289
  42 103 Mo   0.50635   0.03177  -0.62983   0.07516  45  16   7   1  0.74620  0.00000  1.386E-01   F   0             2.676
  42 104 Mo   0.50236   0.03006   0.14579   0.06214  70   9   7   8  1.27520  1.21482  7.376E-02   F   0             0.000
  42 105 Mo   0.50086   0.02877  -0.69454   0.06768  31  16   7   1  0.66230  0.00000  1.128E-01   F   0             2.924
  42 106 Mo   0.50142   0.02809   0.04162   0.05650  75   8   7   5  1.06777  0.88517  4.475E-02       0             0.000
  42 107 Mo   0.50369   0.02820  -0.66187   0.06194  42  12   7   1  0.58190  0.00000  7.343E-02   F   0             2.972
  42 108 Mo   0.50728   0.02918   0.13818   0.05861  34   8   7   8  1.23210  1.23210  9.528E-02   F   0             0.000
  42 109 Mo   0.51181   0.03095   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  42 110 Mo   0.51688   0.03326   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  42 111 Mo   0.52202   0.03578   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  42 112 Mo   0.52670   0.03807   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 113 Mo   0.53037   0.03970   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 114 Mo   0.53259   0.04031   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 115 Mo   0.53354   0.03993   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 116 Mo   0.53358   0.03873   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 117 Mo   0.53307   0.03695   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 118 Mo   0.53240   0.03486   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  83 Tc   0.92516   0.07121   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  84 Tc   0.97139   0.08023   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  85 Tc   1.01167   0.08976   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  86 Tc   1.04017   0.09756   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  43  87 Tc   1.05062   0.10087   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  43  88 Tc   1.03910   0.09794   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  43  89 Tc   1.00826   0.08991  -0.30397   0.24318  40  16  14   1  2.53050  0.00000  2.400E-02       0             4.883
  43  90 Tc   0.96340   0.07928  -0.63678   0.17095  48  11   7   1  1.69878  0.00000  1.347E-01   F   0             6.250
  43  91 Tc   0.91024   0.06852  -0.63970   0.18317  64  15  14   1  1.82133  0.00000  4.507E-03       0             3.677
  43  92 Tc   0.85377   0.05941  -1.05037   0.14613  51  20   7   1  1.50286  0.00000  6.810E-02   F   0             3.983
  43  93 Tc   0.79780   0.05270  -0.06590   0.15016 131  21  14   2  2.33889  0.39184  4.149E-02       0             3.588
  43  94 Tc   0.74490   0.04826  -0.80147   0.16057 111  52  14   1  2.42450  0.00000  2.650E-02 *     0             3.574
  43  95 Tc   0.69660   0.04547  -0.68055   0.14109 133  32  15   9  1.74702  0.95699  9.508E-03 *     0             3.011
  43  96 Tc   0.65369   0.04361  -1.62418   0.16084 129  74  20   2  1.18756  0.03423  1.472E-02 *     0             3.619
  43  97 Tc   0.61647   0.04215  -0.86526   0.16075 209 131   7   6  2.13480  0.65690  1.219E-02 *     0             2.962
  43  98 Tc   0.58498   0.04075  -1.39116   0.13540  94  43  18   1  0.79950  0.00000  1.160E-02 *     0             3.497
  43  99 Tc   0.55913   0.03924  -0.72378   0.12613 144  41  14   5  1.32940  0.50910  1.119E-02 *     0             2.574
  43 100 Tc   0.53885   0.03754  -1.25401   0.12813  79  45  20   2  0.77786  0.17215  1.904E-02 *     0             3.651
  43 101 Tc   0.52389   0.03566  -0.77617   0.10773  98  30  14   8  1.04500  0.51525  2.291E-02 *     0             2.624
  43 102 Tc   0.51332   0.03369  -0.92062   0.08406  25  22   7   1  0.63700  0.00000  2.094E-01   F   0             0.000
  43 103 Tc   0.50635   0.03177  -0.75859   0.08870  49  19  14   6  0.69159  0.25900  5.643E-02   F   0             2.632
  43 104 Tc   0.50236   0.03006  -0.73866   0.06479  20  11   7   1  0.44260  0.00000  6.962E-02   F   0             2.886
  43 105 Tc   0.50086   0.02877  -0.86110   0.08106  40  20  14   1  0.61028  0.00000  6.580E-02   F   0             2.507
  43 106 Tc   0.50142   0.02809   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  43 107 Tc   0.50369   0.02820  -0.65154   0.07622  35  16  14   1  0.76605  0.00000  6.944E-02   F   0             3.107
  43 108 Tc   0.50728   0.02918   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
  43 109 Tc   0.51181   0.03095  -0.80718   0.08453  52  17  14   1  0.64368  0.00000  7.916E-02   F   0             3.053
  43 110 Tc   0.51688   0.03326  -0.84488   0.07537  27  14   7   1  0.51240  0.00000  1.775E-01   F   0             1.433
  43 111 Tc   0.52202   0.03578   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  43 112 Tc   0.52670   0.03807   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  43 113 Tc   0.53037   0.03970   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  43 114 Tc   0.53259   0.04031   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  43 115 Tc   0.53354   0.03993   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 116 Tc   0.53358   0.03873   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 117 Tc   0.53307   0.03695   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 118 Tc   0.53240   0.03486   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 119 Tc   0.53196   0.03275   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 120 Tc   0.53217   0.03090   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 121 Tc   0.53346   0.02956   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  85 Ru   1.01167   0.08976   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  86 Ru   1.04017   0.09756   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  87 Ru   1.05062   0.10087   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  88 Ru   1.03910   0.09794   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  44  89 Ru   1.00826   0.08991   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  44  90 Ru   0.96340   0.07928   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  44  91 Ru   0.91024   0.06852  -0.02736   0.16028  44  15   7   1  2.40930  0.00000  4.904E-02       0             5.207
  44  92 Ru   0.85377   0.05941   1.17676   0.12306  39   9   7   1  3.01450  0.00000  2.734E-02       0             0.000
  44  93 Ru   0.79780   0.05270   0.35434   0.11723  46  12   7   1  2.28050  0.00000  4.331E-02       0             5.200
  44  94 Ru   0.74490   0.04826   1.35618   0.10727  75  12   7   4  3.25470  2.49800  6.800E-02   F   0             3.302
  44  95 Ru   0.69660   0.04547   0.31148   0.11110  72  18   7   2  2.29400  0.78770  1.229E-01   F   0             3.573
  44  96 Ru   0.65369   0.04361   0.94281   0.13317 115  43   7   8  3.38051  2.46216  7.402E-03 *     0             3.288
  44  97 Ru   0.61647   0.04215  -0.17838   0.11138 135  27   7   4  2.02010  0.52784  4.690E-02 *     0             3.225
  44  98 Ru   0.58498   0.04075   0.72497   0.11197  71  28   7   6  2.65962  1.79696  1.323E-02 *     0             2.703
  44  99 Ru   0.55913   0.03924  -0.42295   0.10092 121  24   7   4  1.41405  0.34090  3.156E-02 *     0             2.579
  44 100 Ru   0.53885   0.03754   0.71131   0.12669 193  66   7  10  2.96759  2.06265  5.820E-03 *     0             2.714
  44 101 Ru   0.52389   0.03566  -0.69950   0.10677 151  30  13   9  1.11100  0.54512  1.041E-02 *     0             2.468
  44 102 Ru   0.51332   0.03369   0.71689   0.09117 137  27   7   7  2.46739  1.58056  2.247E-02 *     0             2.555
  44 103 Ru   0.50635   0.03177  -0.90210   0.10430 132  39  18   6  0.95440  0.23820  1.044E-02 *     0             2.291
  44 104 Ru   0.50236   0.03006   0.66175   0.08541  70  34   7  10  2.61897  1.55640  3.945E-02 *     0             3.034
  44 105 Ru   0.50086   0.02877  -0.85442   0.07338  61  25   7   1  0.75671  0.00000  1.532E-01   F   0             2.321
  44 106 Ru   0.50142   0.02809   0.29166   0.05817  50   9   7   2  1.39221  0.27007  4.894E-02       0             0.000
  44 107 Ru   0.50369   0.02820  -0.83695   0.07265  56  25   7   1  0.74142  0.00000  1.554E-01   F   0             3.511
  44 108 Ru   0.50728   0.02918   0.14258   0.06211  46  10   7   4  1.24917  0.70783  8.830E-02   F   0             2.564
  44 109 Ru   0.51181   0.03095  -0.92126   0.07129  57  15   7   1  0.40770  0.00000  2.442E-01   F   0             2.455
  44 110 Ru   0.51688   0.03326   0.14720   0.06685  87   8   7   2  1.23910  0.24073  4.110E-02       0             0.000
  44 111 Ru   0.52202   0.03578  -0.87073   0.09372  73  28   7   1  0.86350  0.00000  1.347E-01   F   0             3.459
  44 112 Ru   0.52670   0.03807   0.03418   0.08081  64  10   7   6  1.23534  0.98068  6.250E-02   F   0             3.142
  44 113 Ru   0.53037   0.03970   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  44 114 Ru   0.53259   0.04031   0.13900   0.08320  21   9   7   2  1.37250  0.26519  1.520E-01   F   0             0.000
  44 115 Ru   0.53354   0.03993   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  44 116 Ru   0.53358   0.03873   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  44 117 Ru   0.53307   0.03695   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  44 118 Ru   0.53240   0.03486   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  44 119 Ru   0.53196   0.03275   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  44 120 Ru   0.53217   0.03090   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 121 Ru   0.53346   0.02956   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 122 Ru   0.53628   0.02890   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 123 Ru   0.54114   0.02899   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 124 Ru   0.54866   0.02978   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45  88 Rh   1.03910   0.09794   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45  89 Rh   1.00826   0.08991   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45  90 Rh   0.96340   0.07928   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45  91 Rh   0.91024   0.06852   0.00000   1.00000  19   1   1   1  0.00000  0.00000                  0             0.000
  45  92 Rh   0.85377   0.05941   0.27311   0.11926  23   8   7   1  2.15170  0.00000  1.124E-01   F   0             0.000
  45  93 Rh   0.79780   0.05270   0.60337   0.14079  32  15  14   1  2.89050  0.00000  1.286E-01   F   0             5.178
  45  94 Rh   0.74490   0.04826   0.47382   0.09944  40   9   7   1  2.27586  0.00000  2.405E-01   F   0             0.000
  45  95 Rh   0.69660   0.04547   1.25030   0.12156  46  15  14   1  3.12943  0.00000  8.360E-03       0             5.508
  45  96 Rh   0.65369   0.04361  -0.89494   0.10451  49  17   7   2  0.93876  0.05198  1.358E-01   F   0             3.722
  45  97 Rh   0.61647   0.04215  -0.23024   0.12002  87  21  14   2  1.63500  0.25876  2.456E-02       0             3.213
  45  98 Rh   0.58498   0.04075  -0.66864   0.08250  44   9   7   1  0.84160  0.00000  6.271E-01   F   0             0.000
  45  99 Rh   0.55913   0.03924  -0.38450   0.09469 159  17   7   1  1.16760  0.00000  2.458E-02 *     0             2.710
  45 100 Rh   0.53885   0.03754  -1.26026   0.10938  67  25  14   1  0.44550  0.00000  3.024E-02 *     0             2.728
  45 101 Rh   0.52389   0.03566  -0.36021   0.08617 128  17   7   3  1.05800  0.18178  3.120E-02 *     0             2.731
  45 102 Rh   0.51332   0.03369  -1.23367   0.10988 113  47  14   1  0.73075  0.00000  3.470E-02 *     0             3.276
  45 103 Rh   0.50635   0.03177  -0.38953   0.09631 215  42   9   6  1.53050  0.53684  2.425E-02 *     0             2.705
  45 104 Rh   0.50236   0.03006  -1.23890   0.11098 181  93  14   9  1.03094  0.21306  2.573E-02 *     0             3.012
  45 105 Rh   0.50086   0.02877  -0.59609   0.08860 129  45   9   6  1.40594  0.46940  2.743E-02 *     0             2.832
  45 106 Rh   0.50142   0.02809   0.04461   0.05789  26   9   7   1  1.20750  0.00000  2.391E-01   F   0             0.000
  45 107 Rh   0.50369   0.02820  -0.63802   0.08162  84  29  11   3  1.04195  0.26836  1.812E-02 *     0             2.751
  45 108 Rh   0.50728   0.02918   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  45 109 Rh   0.51181   0.03095  -0.64233   0.09377  79  30  14   3  1.09625  0.22587  4.742E-02       0             2.810
  45 110 Rh   0.51688   0.03326   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  45 111 Rh   0.52202   0.03578  -0.76985   0.09997  62  19  14   1  0.73270  0.00000  7.742E-02   F   0             2.784
  45 112 Rh   0.52670   0.03807  -0.43740   0.07851  21   9   7   1  0.74289  0.00000  6.447E-02   F   0             0.000
  45 113 Rh   0.53037   0.03970  -0.60046   0.11663  65  25  14   1  1.07573  0.00000  2.737E-02       0             3.104
  45 114 Rh   0.53259   0.04031   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  45 115 Rh   0.53354   0.03993  -0.41980   0.10676  32  15  14   1  1.01060  0.00000  3.806E-02       0             2.975
  45 116 Rh   0.53358   0.03873   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  45 117 Rh   0.53307   0.03695   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 118 Rh   0.53240   0.03486   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 119 Rh   0.53196   0.03275   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 120 Rh   0.53217   0.03090   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  45 121 Rh   0.53346   0.02956   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 122 Rh   0.53628   0.02890   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  45 123 Rh   0.54114   0.02899   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 124 Rh   0.54866   0.02978   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 125 Rh   0.55958   0.03111   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 126 Rh   0.57487   0.03279   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 127 Rh   0.59552   0.03461   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46  90 Pd   0.96340   0.07928   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46  91 Pd   0.91024   0.06852   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46  92 Pd   0.85377   0.05941   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  46  93 Pd   0.79780   0.05270   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  46  94 Pd   0.74490   0.04826   0.00000   1.00000  17   1   1   2  0.00000  0.81380                  0             0.000
  46  95 Pd   0.69660   0.04547   0.51425   0.09417  40   9   7   1  2.02493  0.00000  1.727E-02       0             0.000
  46  96 Pd   0.65369   0.04361   0.00000   1.00000  15   1   1   2  0.00000  1.41531                  0             0.000
  46  97 Pd   0.61647   0.04215   0.32667   0.12790 171  43   7   1  2.63978  0.00000  3.880E-02       0             4.037
  46  98 Pd   0.58498   0.04075   1.22899   0.09590 200  15   7   3  2.78424  1.54140  4.821E-02       0             3.548
  46  99 Pd   0.55913   0.03924  -0.33806   0.08136  75   9   7   1  0.83245  0.00000  1.224E-01   F   0             0.000
  46 100 Pd   0.53885   0.03754   1.06789   0.08172  83  11   7   3  2.35940  1.41615  4.994E-02       0             2.785
  46 101 Pd   0.52389   0.03566  -0.36894   0.09300  66  26   7   1  1.61460  0.00000  5.374E-02 * F   0             2.864
  46 102 Pd   0.51332   0.03369   0.90186   0.09953  99  38   7   6  2.76900  1.65810  1.113E-02 *     0             2.560
  46 103 Pd   0.50635   0.03177  -0.49883   0.07612 105  17   7   4  0.90412  0.26686  1.784E-02 *     0             2.476
  46 104 Pd   0.50236   0.03006   0.74346   0.08801 150  36   7   8  2.53340  1.82065  1.139E-02 *     0             2.383
  46 105 Pd   0.50086   0.02877  -0.63223   0.09497 106  39  18   5  1.20160  0.34451  1.117E-02 *     0             2.388
  46 106 Pd   0.50142   0.02809   0.68209   0.08040 136  34   7   4  2.50031  1.13376  1.883E-02 *     0             2.343
  46 107 Pd   0.50369   0.02820  -0.60064   0.08244 104  47   7   5  1.59000  0.31220  3.739E-02 *     0             2.711
  46 108 Pd   0.50728   0.02918   0.54679   0.07015  93  17   7   8  2.09867  1.44118  6.051E-02 * F   0             2.487
  46 109 Pd   0.51181   0.03095  -0.97524   0.09477 138  33  14   3  0.84610  0.18899  1.098E-02 *     0             2.481
  46 110 Pd   0.51688   0.03326   0.17302   0.06694 193   8   7   6  1.21448  1.17065  8.279E-02   F   0             0.000
  46 111 Pd   0.52202   0.03578  -0.81943   0.08954  47  22   7   3  0.78890  0.17218  1.234E-01   F   0             2.587
  46 112 Pd   0.52670   0.03807   0.07275   0.07661  89   8   7   4  1.13983  0.88296  7.062E-02   F   0             0.000
  46 113 Pd   0.53037   0.03970  -0.87090   0.09330  42  17   7   1  0.57310  0.00000  1.125E-01   F   0             2.801
  46 114 Pd   0.53259   0.04031   0.16489   0.08323  63   9   7   4  1.39192  0.85237  1.368E-01   F   0             0.000
  46 115 Pd   0.53354   0.03993  -0.74375   0.08744  28  12   7   1  0.57560  0.00000  4.862E-02       0             2.936
  46 116 Pd   0.53358   0.03873   0.37957   0.08013  49   9   7   2  1.55897  0.34026  6.904E-02   F   0             0.000
  46 117 Pd   0.53307   0.03695   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  46 118 Pd   0.53240   0.03486   0.49031   0.07001  20   8   7   1  1.67140  0.00000  1.472E-01   F   0             0.000
  46 119 Pd   0.53196   0.03275   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46 120 Pd   0.53217   0.03090   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  46 121 Pd   0.53346   0.02956   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  46 122 Pd   0.53628   0.02890   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  46 123 Pd   0.54114   0.02899   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46 124 Pd   0.54866   0.02978   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  46 125 Pd   0.55958   0.03111   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46 126 Pd   0.57487   0.03279   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  46 127 Pd   0.59552   0.03461   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46 128 Pd   0.62166   0.03645   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  46 129 Pd   0.65325   0.03828   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  47  92 Ag   0.85377   0.05941   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  47  93 Ag   0.79780   0.05270   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
