#Constant Temperature fit results; RIPL III discrete level library; March 2020 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
   7  14 N    4.16486   1.24262  -3.47009   4.53240 120  64  20  23 13.77000  9.70300  1.728E-03 *     0             1.971
   7  15 N    3.75361   0.94023  -0.65086   3.20726 113  56  13  39 14.40000 13.00400  1.741E-03 *     0             1.921
   7  16 N    3.40957   0.72781  -4.28372   2.31227  66  33  17   4  7.67400  0.39727  2.070E-03 *     0             2.002
   7  17 N    3.11998   0.58351  -3.02833   1.58293  35  30   7   7  8.14000  3.20420  8.302E-03 *     0             1.841
   7  18 N    2.87507   0.48941   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
   7  19 N    2.66731   0.42986   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   7  20 N    2.49080   0.39156   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
   7  21 N    2.34094   0.36436   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   7  22 N    2.21414   0.34151   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   7  23 N    2.10730   0.31925   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  24 N    2.01690   0.29669   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  25 N    1.93990   0.27421   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  12 O    5.26241   2.24582   0.00000   1.00000   5   1   1   2  0.00000  1.62000                  0             0.000
   8  13 O    4.66020   1.66414   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   8  14 O    4.16486   1.24262   0.00000   1.00000  18   1   1   5  0.00000  6.59000                  0             0.000
   8  15 O    3.75361   0.94023  -1.07138   3.13462  85  44  16  12 13.02500  8.92210  2.828E-03 *     0             1.788
   8  16 O    3.40957   0.72781   2.69095   2.04469 134  31   7  12 14.39900 11.09670  2.870E-03 *     0             1.935
   8  17 O    3.11998   0.58351  -2.05137   1.95959 118  41  19   9  9.49200  5.69730  2.590E-03 *     0             2.063
   8  18 O    2.87507   0.48941  -0.84761   1.36944 119  32   7  12  9.10000  6.19822  5.633E-03 *     0             2.006
   8  19 O    2.66731   0.42986  -2.30378   1.18527  55  28   8   5  6.58300  2.77900  6.368E-03 *     0             2.158
   8  20 O    2.49080   0.39156  -0.12609   0.85309  21  11   7   6  5.61400  4.85000  4.074E-02       0             1.917
   8  21 O    2.34094   0.36436   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   8  22 O    2.21414   0.34151   0.00000   1.00000  11   1   1   2  0.00000  3.19900                  0             0.000
   8  23 O    2.10730   0.31925   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  24 O    2.01690   0.29669   0.00000   1.00000   5   1   1   2  0.00000  4.79000                  0             0.000
   8  25 O    1.93990   0.27421   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  26 O    1.87386   0.25278   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   8  27 O    1.81675   0.23370   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  28 O    1.76682   0.21834   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  14 F    4.16486   1.24262   0.00000   1.00000   4   1   1   4  0.00000  2.79000                  0             0.000
   9  15 F    3.75361   0.94023   0.00000   1.00000   5   1   1   3  0.00000  3.48000                  0             0.000
   9  16 F    3.40957   0.72781  -3.22871   1.90907  28  24   7   8  7.50000  4.65400  5.913E-02   F   0             1.876
   9  17 F    3.11998   0.58351  -2.07996   1.93742  77  37  20   9  9.45000  5.67200  2.988E-03 *     0             1.787
   9  18 F    2.87507   0.48941  -4.10692   1.81502  99  76  18  30  8.23800  6.09640  3.684E-03 *     0             2.097
   9  19 F    2.66731   0.42986  -2.54470   1.42052 191  67   7  47  8.65000  7.56000  5.670E-03 *     0             2.375
   9  20 F    2.49080   0.39156  -4.24553   1.50864 153 107  14   8  7.37000  1.84380  5.908E-03 *     0             1.794
   9  21 F    2.34094   0.36436  -2.09934   0.95738  37  26   7   4  5.59200  1.73040  1.022E-02 *     0             1.753
   9  22 F    2.21414   0.34151  -2.58356   0.79044  26  15   7   1  3.37640  0.00000  3.837E-02       0             2.230
   9  23 F    2.10730   0.31925   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
   9  24 F    2.01690   0.29669   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   9  25 F    1.93990   0.27421   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   9  26 F    1.87386   0.25278   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   9  27 F    1.81675   0.23370   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   9  28 F    1.76682   0.21834   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   9  29 F    1.72257   0.20788   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  30 F    1.68264   0.20283   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  31 F    1.64579   0.20267   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  15 Ne   3.75361   0.94023   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  16 Ne   3.40957   0.72781   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
