289Lv  289  116    1    0    1    1    0.000000    2.532000
  1   0.000000   2.5  1  2.000E-03  0                     5/2+#  1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
290Lv  290  116    1    0    1    1    7.401000    2.757000
  1   0.000000   0.0  1  8.000E-03  0                        0+  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
291Lv  291  116    1    0    1    1    5.882000    2.795000
  1   0.000000  -1.0  0  2.800E-02  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
292Lv  292  116    1    0    1    1    7.217000    3.038000
  1   0.000000   0.0  1  2.400E-02  0                        0+  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
293Lv  293  116    1    0    1    1    5.644000    0.000000
  1   0.000000  -1.0  0  8.000E-02  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
