287Mc  287  115    1    0    1    1    0.000000    1.167000
  1   0.000000  -1.0  0  9.500E-02  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
288Mc  288  115    1    0    1    1    6.196000    1.591000
  1   0.000000  -1.0  0  1.700E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
289Mc  289  115    1    0    1    1    7.176000    1.665000
  1   0.000000  -1.0  0  3.100E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
290Mc  290  115    1    0    1    1    5.844000    1.960000
  1   0.000000  -1.0  0  4.100E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
291Mc  291  115    1    0    1    1    6.975000    0.000000
  1   0.000000  -1.0  0  1.000E+00  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
